1000	1000	1	278834
1000	1000	2	257317
1000	1000	3	247713
1000	1000	4	271523
1000	1000	5	285590
1000	1000	6	491788
1000	1000	7	309246
1000	1000	8	456607
1000	1000	9	286200
1000	1000	10	533866
1000	1000	11	445859
1000	1000	12	413176
1000	1000	13	353610
1000	1000	14	485829
1000	1000	15	346323
1000	1000	16	369187
1000	1000	17	427932
1000	1000	18	389250
1000	1000	19	443327
1000	1000	20	490179
1000	1000	25	347097
1000	1000	30	300824
1000	1000	35	485533
1000	1000	40	1010931
1000	1000	45	311258
1000	1000	50	310429
1000	1000	55	361462
1000	1000	60	436546
1000	1000	65	626389
1000	1000	70	364441
1000	1000	75	326404
1000	1000	80	419348
1000	1000	85	417547
1000	1000	90	385216
1000	1000	95	378539
1000	1000	100	378244
1000	1000	110	366755
1000	1000	120	364216
1000	1000	130	403797
1000	1000	140	358768
1000	1000	150	342890
1000	1000	160	390227
1000	1000	170	714323
1000	1000	180	839033
1000	1000	190	372022
1000	1000	200	342012
1000	1000	210	406040
1000	1000	220	748197
1000	1000	230	339903
1000	1000	240	362175
1000	1000	250	351679
1000	1000	260	397094
1000	1000	270	410217
1000	1000	280	390684
1000	1000	290	419726
1000	1000	300	301865
1000	1000	310	410305
1000	1000	320	325878
1000	1000	330	400056
1000	1000	340	403986
1000	1000	350	371309
1000	1000	360	391447
1000	1000	370	376022
1000	1000	380	1240623
1000	1000	390	380351
1000	1000	400	1044321
1000	1000	410	580958
1000	1000	420	2294813
1000	1000	430	397928
1000	1000	440	370018
1000	1000	450	330736
1000	1000	460	402517
1000	1000	470	428682
1000	1000	480	442795
1000	1000	490	408344
1000	1000	500	458325
1000	1000	550	369615
1000	1000	600	2911581
1000	1000	650	335304
1000	1000	700	407358
1000	1000	750	424517
1000	1000	800	419867
1000	1000	850	392787
1000	1000	900	392577
1000	1000	950	337414
1000	1000	1000	330192
