1	801
2	424
3	295
4	235
5	215
6	183
7	166
8	158
9	180
10	230
11	201
12	154
13	186
14	187
15	168
16	187
17	180
18	190
19	200
20	179
25	171
30	175
35	172
40	175
45	167
50	173
55	161
60	163
65	158
70	158
75	159
80	155
85	157
90	158
95	163
100	153
110	161
120	163
130	161
140	169
150	167
160	180
170	172
180	168
190	181
200	187
210	189
220	194
230	193
240	206
250	196
260	193
270	188
280	189
290	192
300	208
310	194
320	204
330	215
340	214
350	215
360	216
370	190
380	242
390	218
400	198
410	211
420	214
430	231
440	213
450	233
460	242
470	208
480	233
490	216
500	202
550	229
600	216
650	199
700	203
750	258
800	228
850	234
900	233
950	209
1000	218
