10	25
20	48
30	80
40	96
50	128
60	146
70	188
80	205
90	227
100	259
110	287
120	311
130	343
140	366
150	385
160	418
170	438
180	456
190	497
200	519
210	549
220	588
230	598
240	619
250	629
260	633
270	683
280	699
290	742
300	757
310	792
320	812
330	835
340	860
350	900
360	958
370	952
380	1000
390	1038
400	1030
410	1062
420	1105
430	1138
440	1155
450	1192
460	1199
470	1255
480	1279
490	1251
500	1305
510	1316
520	1334
530	1337
540	1400
550	1449
560	1495
570	1500
580	1547
590	1561
600	1545
610	1547
620	1658
630	1628
640	1717
650	1672
660	1648
670	1760
680	1784
690	1787
700	1869
710	1840
720	1914
730	1853
740	1873
750	1962
760	1969
770	1979
780	1956
790	1878
800	1908
810	1957
820	2009
830	2180
840	2193
850	2130
860	2260
870	2264
880	2301
890	2332
900	2387
910	1919
920	2322
930	2354
940	2441
950	2480
960	2544
970	2594
980	2569
990	2554
1000	2644
1010	2616
1020	2554
1030	2603
