10	5999
11	4296
12	6480
13	3595
14	5326
15	8428
16	4875
17	8336
18	7596
19	3301
20	4903
21	5315
22	9867
23	8850
24	6776
25	8476
26	8032
27	6865
28	4955
29	5529
30	5363
31	5492
32	4214
33	4890
34	5649
35	9031
36	10608
37	10493
38	9225
39	5668
40	9327
41	6138
42	6456
43	6344
44	5604
45	6624
46	8893
47	16021
48	9002
49	7532
50	6631
51	8230
52	6313
53	9473
54	10259
55	7890
56	8042
57	11752
58	12530
59	9740
60	8737
61	13520
62	8241
63	10883
64	11620
65	13292
66	12366
67	10149
68	9559
69	11784
70	14007
71	7001
72	11956
73	11079
74	16587
75	10802
76	6211
77	13005
78	10687
79	10463
80	14194
81	13087
82	15379
83	11863
84	19250
85	10101
86	14363
87	9436
88	15617
89	14238
90	11233
91	14375
92	16701
93	15846
94	13208
95	10949
96	18000
97	15983
98	16359
99	18925
100	17365
100	14232
110	18910
120	23081
130	25731
140	18942
150	22236
160	11952
170	14421
180	12692
190	14944
200	19011
210	29379
220	20214
230	21384
240	15865
250	23944
260	25230
270	26644
280	22089
290	35003
300	23457
310	19863
320	32565
330	30082
340	24593
350	20524
360	25192
370	25107
380	28510
390	28194
400	23353
410	25293
420	23340
430	24074
440	41073
450	27391
460	40001
470	25384
480	40797
490	38854
500	47802
510	51431
520	40736
530	33853
540	37475
550	41370
560	31714
570	53613
580	40430
590	65477
600	22795
610	30984
620	52324
630	49542
640	48886
650	28446
660	44725
670	59069
680	35381
690	48604
700	51241
710	69703
720	31693
730	42154
740	75484
750	53885
760	62632
770	64130
780	63816
790	50329
800	60872
810	60126
820	63105
830	42744
840	49597
850	58369
860	67867
870	44194
880	46910
890	56212
900	34450
910	49405
920	42502
930	43535
940	50735
950	64610
960	65425
970	53830
980	49312
990	59232
1000	45020
